time,block_index,position,velocity,acceleration
0.0500,60,61.905012,0.000000,0.000000
0.0500,61,63.021984,0.000000,-0.000000
0.0500,62,64.039230,0.000000,0.000000
0.0500,63,65.096567,0.000000,0.000000
0.0500,64,66.146504,0.000000,0.000000
0.0500,65,67.273437,0.000000,-0.000000
0.0500,66,68.387039,0.000000,0.000000
0.0500,67,69.205714,0.000000,0.000000
0.0500,68,70.304260,0.000000,-0.000000
0.0500,69,71.387302,0.000000,0.000000
0.0500,70,72.580560,0.000000,0.000000
0.0500,71,73.701861,0.000000,0.000000
0.0500,72,74.636005,0.000000,0.000000
0.0500,73,75.523527,0.000000,0.000000
0.0500,74,76.462761,0.000000,-0.000000
0.0500,75,77.342878,0.000000,0.000000
0.0500,76,78.163219,0.000000,-0.000000
0.0500,77,79.151623,0.000000,0.000000
0.0500,78,80.142670,0.000000,0.000000
0.0500,79,81.255726,0.000000,0.000000
0.0500,80,82.379637,0.000000,0.000000
0.0500,81,83.302948,0.000000,0.000000
0.0500,82,84.391855,0.000000,0.000000
0.0500,83,85.404436,0.000000,-0.000000
0.0500,84,86.438222,0.000000,0.000000
0.0500,85,87.587929,0.000000,-0.000000
0.0500,86,88.689397,0.000000,0.000000
0.0500,87,89.639051,0.000000,0.000000
0.0500,88,90.535502,0.000000,-0.000000
0.0500,89,91.360956,0.000000,0.000000
0.0500,90,92.265597,0.000000,-0.000000
0.0500,91,93.178666,0.000000,0.000000
0.0500,92,94.148452,0.000000,0.000000
0.0500,93,95.304725,0.000000,0.000000
0.0500,94,96.146072,0.000000,0.000000
0.0500,95,97.118047,0.000000,0.000000
0.0500,96,97.945442,0.000000,0.000000
0.0500,97,98.857971,0.000000,-0.000000
0.0500,98,99.933303,0.000000,0.000000
0.0500,99,100.958578,0.000000,0.000000
0.0670,0,1.607490,-1.293551,-17.713842
0.0670,1,2.290326,0.509117,6.629818
0.0670,2,3.380418,0.009121,0.403053
0.0670,3,4.333427,0.000047,0.003593
0.0670,4,5.300308,0.000000,0.000011
0.0670,5,6.415855,0.000000,0.000000
0.0670,6,7.582256,0.000000,0.000000
0.0670,7,8.594981,0.000000,0.000000
0.0670,8,9.604565,0.000000,0.000000
0.0670,9,10.789159,0.000000,0.000000
0.0670,10,11.693296,0.000000,0.000000
0.0670,11,12.668245,0.000000,0.000000
0.0670,12,13.548620,0.000000,0.000000
0.0670,13,14.658091,0.000000,0.000000
0.0670,14,15.647715,0.000000,0.000000
0.0670,15,16.828535,0.000000,0.000000
0.0670,16,17.725294,0.000000,0.000000
0.0670,17,18.528544,0.000000,-0.000000
0.0670,18,19.387094,0.000000,0.000000
0.0670,19,20.569846,0.000000,0.000000
0.0670,20,21.696789,0.000000,0.000000
0.0670,21,22.669362,0.000000,0.000000
0.0670,22,23.616583,0.000000,0.000000
0.0670,23,24.453432,0.000000,-0.000000
0.0670,24,25.487604,0.000000,0.000000
0.0670,25,26.351553,0.000000,0.000000
0.0670,26,27.409353,0.000000,-0.000000
0.0670,27,28.400149,0.000000,0.000000
0.0670,28,29.369482,0.000000,0.000000
0.0670,29,30.498940,0.000000,-0.000000
0.0670,30,31.426022,0.000000,0.000000
0.0670,31,32.510162,0.000000,-0.000000
0.0670,32,33.612209,0.000000,0.000000
0.0670,33,34.735084,0.000000,-0.000000
0.0670,34,35.783376,0.000000,0.000000
0.0670,35,36.697047,0.000000,-0.000000
0.0670,36,37.784315,0.000000,0.000000
0.0670,37,38.657568,0.000000,-0.000000
0.0670,38,39.458459,0.000000,0.000000
0.0670,39,40.516858,0.000000,0.000000
0.0670,40,41.614774,0.000000,-0.000000
0.0670,41,42.557305,0.000000,0.000000
0.0670,42,43.737907,0.000000,0.000000
0.0670,43,44.817367,0.000000,0.000000
0.0670,44,45.759014,0.000000,-0.000000
0.0670,45,46.821013,0.000000,0.000000
0.0670,46,48.005579,0.000000,-0.000000
0.0670,47,48.919696,0.000000,0.000000
0.0670,48,50.028940,0.000000,0.000000
0.0670,49,51.127501,0.000000,0.000000
0.0670,50,52.069150,0.000000,-0.000000
0.0670,51,52.903255,0.000000,0.000000
0.0670,52,53.901623,0.000000,0.000000
0.0670,53,54.893541,0.000000,0.000000
0.0670,54,56.052159,0.000000,-0.000000
0.0670,55,57.179972,0.000000,0.000000
0.0670,56,58.203242,0.000000,0.000000
0.0670,57,59.080779,0.000000,0.000000
0.0670,58,59.950593,0.000000,-0.000000
0.0670,59,61.082517,0.000000,0.000000
0.0670,60,61.905012,0.000000,0.000000
0.0670,61,63.021984,0.000000,-0.000000
0.0670,62,64.039230,0.000000,0.000000
0.0670,63,65.096567,0.000000,0.000000
0.0670,64,66.146504,0.000000,0.000000
