time,kinetic_energy,potential_energy,total_energy
9.0340,0.248408,0.251591,0.500000
9.0500,0.247649,0.252351,0.500000
9.0670,0.246867,0.253133,0.500000
9.0840,0.246118,0.253882,0.500000
9.1000,0.245449,0.254550,0.500000
9.1170,0.244783,0.255216,0.500000
9.1340,0.244169,0.255831,0.500000
9.1500,0.243643,0.256357,0.500000
9.1670,0.243143,0.256856,0.500000
9.1840,0.242709,0.257290,0.500000
9.2000,0.242364,0.257635,0.500000
9.2170,0.242068,0.257932,0.500000
9.2340,0.241846,0.258154,0.500000
9.2500,0.241706,0.258294,0.500000
9.2670,0.241632,0.258368,0.500000
9.2840,0.241635,0.258364,0.500000
9.3000,0.241709,0.258291,0.500000
9.3170,0.241860,0.258140,0.500000
9.3340,0.242085,0.257914,0.500000
9.3500,0.242362,0.257637,0.500000
9.3670,0.242723,0.257276,0.500000
9.3840,0.243149,0.256850,0.500000
9.4000,0.243605,0.256394,0.500000
9.4170,0.244144,0.255855,0.500000
9.4340,0.244734,0.255266,0.500000
9.4500,0.245331,0.254669,0.500000
9.4670,0.246003,0.253997,0.500000
9.4840,0.246708,0.253292,0.500000
9.5000,0.247395,0.252604,0.500000
9.5170,0.248146,0.251854,0.500000
9.5340,0.248909,0.251091,0.500000
9.5500,0.249633,0.250367,0.500000
9.5670,0.250401,0.249599,0.500000
9.5840,0.251161,0.248838,0.500000
9.6000,0.251864,0.248136,0.500000
9.6170,0.252590,0.247410,0.500000
9.6340,0.253288,0.246712,0.500000
9.6500,0.253914,0.246086,0.500000
9.6670,0.254541,0.245458,0.500000
9.6840,0.255123,0.244876,0.500000
9.7000,0.255626,0.244374,0.500000
9.7170,0.256106,0.243893,0.500000
9.7340,0.256528,0.243471,0.500000
9.7510,0.256888,0.243111,0.500000
9.7670,0.257168,0.242832,0.500000
9.7840,0.257399,0.242601,0.500000
9.8010,0.257561,0.242438,0.500000
9.8170,0.257650,0.242350,0.500000
9.8340,0.257675,0.242324,0.500000
9.8510,0.257630,0.242369,0.500000
9.8670,0.257524,0.242476,0.500000
9.8840,0.257344,0.242655,0.500000
9.9010,0.257099,0.242901,0.500000
9.9170,0.256809,0.243191,0.500000
9.9340,0.256441,0.243558,0.500000
9.9510,0.256017,0.243983,0.500000
9.9670,0.255569,0.244431,0.500000
9.9840,0.255046,0.244954,0.500000
10.0010,0.254479,0.245521,0.500000
10.0170,0.253910,0.246090,0.500000
10.0340,0.253274,0.246726,0.500000
10.0510,0.252611,0.247388,0.500000
10.0670,0.251969,0.248031,0.500000
10.0840,0.251271,0.248728,0.500000
10.1010,0.250566,0.249433,0.500000
10.1170,0.249901,0.250099,0.500000
10.1340,0.249198,0.250801,0.500000
10.1510,0.248507,0.251493,0.500000
10.1670,0.247871,0.252128,0.500000
10.1840,0.247218,0.252781,0.500000
10.2010,0.246594,0.253405,0.500000
10.2170,0.246039,0.253961,0.500000
10.2340,0.245486,0.254514,0.500000
10.2510,0.244978,0.255022,0.500000
10.2670,0.244544,0.255456,0.500000
10.2840,0.244134,0.255866,0.500000
10.3010,0.243779,0.256220,0.500000
10.3170,0.243500,0.256500,0.500000
10.3340,0.243262,0.256738,0.500000
10.3510,0.243087,0.256913,0.500000
10.3670,0.242982,0.257018,0.500000
10.3840,0.242932,0.257067,0.500000
10.4010,0.242948,0.257051,0.500000
10.4170,0.243023,0.256977,0.500000
10.4340,0.243163,0.256836,0.500000
10.4510,0.243366,0.256634,0.500000
10.4670,0.243612,0.256388,0.500000
10.4840,0.243928,0.256071,0.500000
10.5010,0.244299,0.255700,0.500000
10.5170,0.244695,0.255305,0.500000
10.5340,0.245160,0.254840,0.500000
10.5510,0.245668,0.254332,0.500000
10.5670,0.246180,0.253820,0.500000
10.5840,0.246755,0.253245,0.500000
10.6010,0.247358,0.252642,0.500000
10.6170,0.247944,0.252055,0.500000
10.6340,0.248583,0.251417,0.500000
10.6510,0.249232,0.250768,0.500000
10.6670,0.249846,0.250154,0.500000
10.6840,0.250497,0.249503,0.500000
10.7010,0.251140,0.248860,0.500000
10.7170,0.251733,0.248267,0.500000
10.7340,0.252345,0.247655,0.500000
10.7510,0.252932,0.247068,0.500000
10.7670,0.253458,0.246542,0.500000
10.7840,0.253983,0.246017,0.500000
10.8010,0.254469,0.245531,0.500000
10.8170,0.254887,0.245113,0.500000
10.8340,0.255285,0.244715,0.500000
10.8510,0.255633,0.244367,0.500000
10.8670,0.255911,0.244088,0.500000
10.8840,0.256153,0.243846,0.500000
10.9010,0.256338,0.243662,0.500000
10.9170,0.256457,0.243543,0.500000
10.9340,0.256526,0.243474,0.500000
10.9510,0.256534,0.243465,0.500000
10.9670,0.256487,0.243512,0.500000
10.9840,0.256380,0.243620,0.500000
11.0010,0.256214,0.243786,0.500000
11.0170,0.256007,0.243993,0.500000
11.0340,0.255734,0.244266,0.500000
11.0510,0.255409,0.244591,0.500000
11.0670,0.255060,0.244940,0.500000
11.0840,0.254645,0.245355,0.500000
11.1010,0.254189,0.245810,0.500000
11.1170,0.253727,0.246272,0.500000
11.1340,0.253205,0.246794,0.500000
11.1510,0.252656,0.247343,0.500000
11.1670,0.252119,0.247880,0.500000
11.1840,0.251533,0.248467,0.500000
11.2010,0.250934,0.249065,0.500000
11.2170,0.250366,0.249634,0.500000
11.2340,0.249762,0.250238,0.500000
11.2510,0.249162,0.250838,0.500000
11.2670,0.248607,0.251393,0.500000
11.2840,0.248033,0.251967,0.500000
11.3010,0.247479,0.252521,0.500000
11.3170,0.246981,0.253019,0.500000
11.3340,0.246481,0.253518,0.500000
11.3510,0.246016,0.253984,0.500000
11.3670,0.245614,0.254386,0.500000
11.3840,0.245227,0.254773,0.500000
11.4010,0.244886,0.255113,0.500000
11.4170,0.244610,0.255390,0.500000
11.4340,0.244365,0.255635,0.500000
11.4510,0.244174,0.255826,0.500000
11.4670,0.244043,0.255957,0.500000
11.4840,0.243958,0.256042,0.500000
11.5010,0.243929,0.256071,0.500000
11.5170,0.243953,0.256047,0.500000
11.5340,0.244032,0.255968,0.500000
11.5510,0.244165,0.255834,0.500000
